######################################
#  DATA/QEfromTTS/20ksamples2.5kV.txt
#  2018-05-14 13:03:34
#  20000
-0.001302	-0.002158	-0.004558	-0.004865	0.005875	-0.002130	1
0.000279	-0.004645	-0.004481	-0.005636	0.006108	-0.000293	192
-0.002093	-0.003557	-0.004883	-0.004185	0.007974	-0.000602	51755
-0.003906	-0.002507	-0.001674	-0.003157	0.011062	-0.000532	1791
-0.002930	-0.003097	-0.000837	-0.003102	0.013849	0.000293
-0.002883	-0.000669	0.000000	-0.000293	0.017531	-0.000279
-0.003022	-0.002008	-0.000977	0.000000	0.017468	-0.003562
-0.002278	-0.003515	-0.002278	-0.002400	0.018217	-0.003657
-0.000558	-0.001758	-0.004981	-0.002970	0.013583	-0.004558
-0.000558	-0.002241	-0.003255	-0.004563	0.015517	-0.002418
-0.000558	-0.002051	-0.003529	-0.002790	0.012784	-0.000837
-0.001099	-0.003321	-0.002506	-0.003516	0.011985	-0.000533
-0.003348	-0.001549	-0.002233	-0.001953	0.011579	0.000279
-0.003580	-0.001953	-0.001172	-0.003025	0.014592	0.000000
-0.005581	-0.000617	-0.001674	-0.003125	0.014379	-0.000279
-0.005162	-0.001172	-0.001465	-0.003906	0.015146	-0.001627
-0.001116	-0.001850	-0.001953	-0.003795	0.013316	-0.002511
0.000000	-0.003222	-0.003320	-0.003084	0.013323	-0.003300
-0.001116	-0.003070	-0.001674	-0.002839	0.011453	-0.002397
-0.000976	-0.001396	-0.003209	-0.001233	0.011967	-0.000837
-0.001256	-0.001674	-0.001116	-0.000837	0.011046	-0.000279
-0.002511	-0.001172	-0.001953	-0.001395	0.012860	0.000279
-0.004325	-0.003055	-0.001758	-0.001674	0.013462	0.000000
-0.003889	-0.002637	-0.001953	-0.002775	0.016113	-0.001674
-0.005040	-0.001716	-0.002232	-0.002790	0.016424	-0.003729
-0.001999	-0.003255	-0.002637	-0.002100	0.016221	-0.006292
-0.000558	-0.002051	0.000293	-0.003906	0.013849	-0.003115
-0.001674	-0.000878	-0.000837	-0.001953	0.010026	-0.001116
-0.002232	-0.000325	-0.001967	-0.002002	0.008548	-0.000267
-0.002598	-0.000879	-0.001953	-0.002560	0.005971	0.001953
-0.002232	-0.001465	-0.002790	-0.002159	0.005291	0.001674
-0.003349	-0.002511	-0.003162	-0.003460	0.010438	-0.000799
